,products Name,description,offer prices,original price,Discount
0,fastrack,womens 37.5 mm fastrack x wonder woman silver antique dial leather analog watch - 6243ql01,2795,,
1,fastrack,fastrack ladies watch-nf6093sl01,1886,2695,30
2,fastrack,fastrack gents watch-nf3039sm01,1836,2295,20
3,fastrack,womens 35 mm fastrack x wonder woman silver antique - blue dial leather analog watch - 6244ql01,2195,,
4,fastrack,fastrack gents watch-nf1478sm02,3276,4095,20
5,fastrack,womens 28.78 mm fastrack x wonder woman black-gold dial leather analog watch - 6240km01,3795,,
6,fastrack,womens 34.5 mm fastrack x wonder woman black dial leather analog watch - 6238ql01,2795,,
7,fastrack,womens 35 mm fastrack x wonder woman silver antique - red dial leather analog watch - 6244ql02,2195,,
8,fastrack,fastrack gents watch-3120nl02,2556,3195,20
9,fastrack,fastrack gents watch-nf3039sm01,1916,2395,20
10,fastrack,fastrack gents watch-3120nl02,2520,3150,20
11,fastrack,womens 37.5 mm fastrack x wonder woman black dial leather analog watch - 6243nl01,2795,,
12,fastrack,womens 36.5 mm fastrack x wonder woman red dial leather analog watch - 6215ql01,2395,,
13,fastrack,fastrack ladies watch-nf6027sm01,2895,,
14,fastrack,womens ruffles analogue watch - 6216qm01,2876,3595,20
15,fastrack,womens ruffles analogue watch - 6216qm01,3116,3895,20
16,fastrack,snob x quartz rose gold dial stainless steel analog watch for women,2716,3395,20
17,fastrack,womens 40.70 x 48.30 x 8.15 mm style up 1.0 brown dial stainless steel analog watch,2476,3095,20
18,fastrack,womens 30-39 mm minimals black dial metal analog watch - 6248nm01,1516,1895,20
19,fastrack,womens 30-39 mm minimals rose gold dial metal analog watch - 6248wm01,1756,2195,20
20,fastrack,womens ruffles black dial analogue watch - 6207wm01,2716,3395,20
21,fastrack,mens fastfit black dial leather analogue watch - 3224nl01,3596,4795,25
22,fastrack,mens 42.5 x 49.7 x 11.15 opulence black dial stainless steel band analog watch - 3288nm01,4196,5595,25
23,fastrack,womens 34 mm glitch brown dial brass analogue watch - 6237qm01,2621,3495,25
24,fastrack,womens 32.20 mm uptown retreat 2.0 pink dial leather analog watch,2895,,
25,fastrack,womens ft stunners blue dial stainless steel analog watch,1956,2445,20
26,fastrack,mens leather buckle closure casual belt - brown,1295,,
27,fastrack,mens 40.20 x 46.50 x 7.70 mm stunners 4.0 black dial stainless steel analog watch,1916,2395,20
28,fastrack,buckle closure mens leather casual belt - black,995,,
29,fastrack,womens animal print black dial analogue watch - 6222nm01,1946,2595,25
30,fastrack,mens 41.5 mm wear your look black dial leather analogue watch - 3089sl16,1836,2295,20
31,fastrack,mens fastfit white dial analogue watch - 3227sm02,3521,4695,25
32,fastrack,stunners 6.0 blue sheet metal analog for men 3278sm03,1196,1495,20
33,fastrack,men tick tock 2.0 black & brown dial sheet metal analog watch,3756,4695,20
34,fastrack,stunners 6.0 green leather analog for men 3278sl03,1116,1395,20
35,fastrack,womens animal print black dial analogue watch - 6221nm02,2021,2695,25
36,fastrack,style up 3.0 sheet metal rosegold dial 32.3 x 40 x 7.25 mm analog watch for men,1916,2395,20
37,fastrack,mens 43 mm tick tock 1.0  brown dial sheet metal analog watch - 3287qm01,3196,3995,20
38,fastrack,mens 42 mm stunners 2.0 black dial metal analogue watch - 3245nm02,1816,2595,30
39,fastrack,nylon zipper closure women's casual satchel handbag - black,2495,,
40,fastrack,men tick tock 2.0 black dial leather analog watch,3036,3795,20
41,fastrack,womens animal print multi-colour dial analogue watch - 6221wm01,2171,2895,25
42,fastrack,womens 32.3 mm stunners 2.0 pink dial metal analogue watch - 6152sm04,1186,1695,30
43,fastrack,womens 30-39 mm minimals black dial metal analog watch - 6247nm01,1836,2295,20
44,fastrack,crush 36.5x43.5x8.35 mm brown dial sheet metal analog watch for women - 6292qm01,3395,,
45,fastrack,womens ruffles black dial analogue watch - 6207wm01,2876,3595,20
46,fastrack,womens 34 mm glitch silver dial brass analogue watch - 6237sm01,2096,2795,25
47,fastrack,womens 35 x 42 x 7.45 stunners 5.0  blue dial brass band analog watch - 6282sl01,1276,1595,20
48,fastrack,mens all nighters black dial multi-function watch - 3165nl01,3636,5195,30
49,fastrack,womens analogue brass watch - 6147nm01,2156,2695,20
50,fastrack,nylon zipper closure women's casual sling bag - black,1795,,
51,fastrack,pu zipper closure women's casual backpack - white,3395,,
52,fastrack,womens ruffles analogue watch - 6208nm01,3516,4395,20
53,fastrack,metallica 40.7 x 47.7 x 9.80 mm black dial stainless steel analogue watch for men,3195,,
54,fastrack,men tick tock 2.0 silver dial sheet metal analog watch,2956,3695,20
55,fastrack,womens 33.7 mm glitch black dial leather analogue watch - 6234nl01,1721,2295,25
56,fastrack,mens 40.70 x 48.30 x 7.80 stunners 5.0  white dial brass band analog watch - 3290sm01,1276,1595,20
57,fastrack,mens 32 x 38.10 x 7.25 mm stunners 4.0 silver dial stainless steel analog watch,1516,1895,20
58,fastrack,mens bold white dial leather analogue watch - 38051sl06,1326,1895,30
59,fastrack,men's 40 x 44 x 10.20 mm after dark 2.0 blue dial leather analog watch - 3272sl03,2866,4095,30
60,fastrack,exuberant 2.0 43 x 50.40 x 11.30 mm black and rose gold dial metal analog watch for men,5195,,
61,fastrack,womens paint me black dial leather analogue watch - 6230nl01,1720,2150,20
62,fastrack,style up 3.0 sheet metal black dial 32.3 x 40 x 7.25 mm analog watch for men,1756,2195,20
63,fastrack,style up 3.0 sheet metal blue dial 32.3 x 40 x 7.25 mm analog watch for men,1916,2395,20
64,fastrack,mens grey dial stainless steel strap watch,3356,4195,20
65,fastrack,mens 43 mm tick tock 1.0  brown dial sheet metal analog watch - 3287qm01,3436,4295,20
66,fastrack,womens 30-39 mm minimals blue dial metal analog watch - 6248qm01,1836,2295,20
67,fastrack,womens 34 mm glitch black dial brass analogue watch - 6237nm01,2246,2995,25
68,fastrack,womens 32.2 mm grey dial leather analogue watch - 6259sl01,1996,2495,20
69,fastrack,pulse i 30 x 36 x 7.75 mm rosegold dial stainless steel analog watche for women - 6150wm01,2695,,
70,fastrack,stunners 6.0 black sheet metal analog for men 3278sm05,1196,1495,20
71,fastrack,stunners 6.0 leather analog for women 6152sl08,1036,1295,20
72,fastrack,womens ft stunners silver dial stainless steel analog watch,1476,1845,20
73,fastrack,womens analogue plastic watch - 68006pp02,1756,2195,20
74,fastrack,mens 40-49 mm bare basic 2020 black dial leather analogue watch - 3247sl01,1571,2095,25
75,fastrack,womens green dial analogue watch,1750,,
76,fastrack,mens leather 1 fold wallet with belt - brown,1695,,
77,fastrack,mens 42.5 x 49.7 x 11.15 opulence blue dial stainless steel band analog watch - 3288qm01,4646,6195,25
78,fastrack,mens gamify grey dial metallic analogue watch - 3250nm01,2396,2995,20
79,fastrack,mens go skate white dial multi function watch - 3215sm01,2321,3095,25
